"","Species","Specimen","Site","variable","value"
"1051","Hemidactylus mabuoia","12703","Carmabi","Hemiptera",0.5
"1052","Phylodactylus","12704","Carmabi","Hemiptera",0
"1053","Hemidactylus mabuoia","12705","Carmabi","Hemiptera",0
"1054","Phylodactylus","12706","Carmabi","Hemiptera",0
"1180","Hemidactylus mabuoia","12595","Carmabi","Hymenoptera",0
"1181","Phylodactylus","12673","Carmabi","Hymenoptera",1
"1182","Hemidactylus mabuoia","12703","Carmabi","Hymenoptera",0.5
"1183","Phylodactylus","12704","Carmabi","Hymenoptera",1
"1184","Hemidactylus mabuoia","12705","Carmabi","Hymenoptera",0
"1185","Phylodactylus","12706","Carmabi","Hymenoptera",0
"1311","Hemidactylus mabuoia","12595","Carmabi","Orthoptera",0
"1312","Phylodactylus","12673","Carmabi","Orthoptera",0
"1313","Hemidactylus mabuoia","12703","Carmabi","Orthoptera",0
"1314","Phylodactylus","12704","Carmabi","Orthoptera",0
"1315","Hemidactylus mabuoia","12705","Carmabi","Orthoptera",0
"1316","Phylodactylus","12706","Carmabi","Orthoptera",0
"1442","Hemidactylus mabuoia","12595","Carmabi","Ephermeroptera",0
"1443","Phylodactylus","12673","Carmabi","Ephermeroptera",0
"1444","Hemidactylus mabuoia","12703","Carmabi","Ephermeroptera",0
"1445","Phylodactylus","12704","Carmabi","Ephermeroptera",0
"1446","Hemidactylus mabuoia","12705","Carmabi","Ephermeroptera",0
"1447","Phylodactylus","12706","Carmabi","Ephermeroptera",0
"1573","Hemidactylus mabuoia","12595","Carmabi","Gecko_skin",0
"1574","Phylodactylus","12673","Carmabi","Gecko_skin",0
"1575","Hemidactylus mabuoia","12703","Carmabi","Gecko_skin",0
"1576","Phylodactylus","12704","Carmabi","Gecko_skin",0
"1577","Hemidactylus mabuoia","12705","Carmabi","Gecko_skin",0
"1578","Phylodactylus","12706","Carmabi","Gecko_skin",0
"1704","Hemidactylus mabuoia","12595","Carmabi","Blattaria",0
"1705","Phylodactylus","12673","Carmabi","Blattaria",0
"1706","Hemidactylus mabuoia","12703","Carmabi","Blattaria",0
"1707","Phylodactylus","12704","Carmabi","Blattaria",0
"1708","Hemidactylus mabuoia","12705","Carmabi","Blattaria",0
"1709","Phylodactylus","12706","Carmabi","Blattaria",0
"1835","Hemidactylus mabuoia","12595","Carmabi","Empty",0
"1836","Phylodactylus","12673","Carmabi","Empty",0
"1837","Hemidactylus mabuoia","12703","Carmabi","Empty",0
"1838","Phylodactylus","12704","Carmabi","Empty",0
"1839","Hemidactylus mabuoia","12705","Carmabi","Empty",0
"1840","Phylodactylus","12706","Carmabi","Empty",0
"1966","Hemidactylus mabuoia","12595","Carmabi","Ramphotyphlops",0
"1967","Phylodactylus","12673","Carmabi","Ramphotyphlops",0
"1968","Hemidactylus mabuoia","12703","Carmabi","Ramphotyphlops",0
"1969","Phylodactylus","12704","Carmabi","Ramphotyphlops",0
"1970","Hemidactylus mabuoia","12705","Carmabi","Ramphotyphlops",0
"1971","Phylodactylus","12706","Carmabi","Ramphotyphlops",0
"2097","Hemidactylus mabuoia","12595","Carmabi","Gonatodes.antillensis",0
"2098","Phylodactylus","12673","Carmabi","Gonatodes.antillensis",0
"2099","Hemidactylus mabuoia","12703","Carmabi","Gonatodes.antillensis",0
"2100","Phylodactylus","12704","Carmabi","Gonatodes.antillensis",0
"2101","Hemidactylus mabuoia","12705","Carmabi","Gonatodes.antillensis",0
"2102","Phylodactylus","12706","Carmabi","Gonatodes.antillensis",0
"2228","Hemidactylus mabuoia","12595","Carmabi","Phylodactylus",0
"2229","Phylodactylus","12673","Carmabi","Phylodactylus",0
"2230","Hemidactylus mabuoia","12703","Carmabi","Phylodactylus",0
"2231","Phylodactylus","12704","Carmabi","Phylodactylus",0
"2232","Hemidactylus mabuoia","12705","Carmabi","Phylodactylus",0
"2233","Phylodactylus","12706","Carmabi","Phylodactylus",0
"7","Phylodactylus","12678","Lagun","Diptera",0
"8","Phylodactylus","12679","Lagun","Diptera",0
"9","Hemidactylus mabuoia","12681","Lagun","Diptera",0
"10","Phylodactylus","12689","Lagun","Diptera",0
"11","Hemidactylus mabuoia","12690","Lagun","Diptera",0
"12","Hemidactylus mabuoia","12691","Lagun","Diptera",0
"13","Hemidactylus mabuoia","12692","Lagun","Diptera",0
"14","Hemidactylus mabuoia","12694","Lagun","Diptera",0
"15","Hemidactylus mabuoia","12695","Lagun","Diptera",0
"16","Hemidactylus mabuoia","12696","Lagun","Diptera",0
"17","Phylodactylus","12697","Lagun","Diptera",0
"18","Hemidactylus mabuoia","12702","Lagun","Diptera",1
"19","Hemidactylus mabuoia","12708","Lagun","Diptera",0
"20","Phylodactylus","12709","Lagun","Diptera",0
"21","Hemidactylus mabuoia","12711","Lagun","Diptera",0
"22","Hemidactylus mabuoia","12712","Lagun","Diptera",0
"23","Phylodactylus","112710","Lagun","Diptera",0
"138","Phylodactylus","12678","Lagun","Lepidoptera",1
"139","Phylodactylus","12679","Lagun","Lepidoptera",0
"140","Hemidactylus mabuoia","12681","Lagun","Lepidoptera",0.5
"141","Phylodactylus","12689","Lagun","Lepidoptera",0
"142","Hemidactylus mabuoia","12690","Lagun","Lepidoptera",0
"143","Hemidactylus mabuoia","12691","Lagun","Lepidoptera",0
"144","Hemidactylus mabuoia","12692","Lagun","Lepidoptera",0
"145","Hemidactylus mabuoia","12694","Lagun","Lepidoptera",0
"146","Hemidactylus mabuoia","12695","Lagun","Lepidoptera",0
"147","Hemidactylus mabuoia","12696","Lagun","Lepidoptera",0
"148","Phylodactylus","12697","Lagun","Lepidoptera",0
"149","Hemidactylus mabuoia","12702","Lagun","Lepidoptera",0
"150","Hemidactylus mabuoia","12708","Lagun","Lepidoptera",0
"151","Phylodactylus","12709","Lagun","Lepidoptera",0
"152","Hemidactylus mabuoia","12711","Lagun","Lepidoptera",0
"153","Hemidactylus mabuoia","12712","Lagun","Lepidoptera",1
"154","Phylodactylus","112710","Lagun","Lepidoptera",0
"269","Phylodactylus","12678","Lagun","Coleoptera",0
"270","Phylodactylus","12679","Lagun","Coleoptera",0
"271","Hemidactylus mabuoia","12681","Lagun","Coleoptera",0
"272","Phylodactylus","12689","Lagun","Coleoptera",0
"273","Hemidactylus mabuoia","12690","Lagun","Coleoptera",1
"274","Hemidactylus mabuoia","12691","Lagun","Coleoptera",0
"275","Hemidactylus mabuoia","12692","Lagun","Coleoptera",0
"276","Hemidactylus mabuoia","12694","Lagun","Coleoptera",0
"277","Hemidactylus mabuoia","12695","Lagun","Coleoptera",0
"278","Hemidactylus mabuoia","12696","Lagun","Coleoptera",0
"279","Phylodactylus","12697","Lagun","Coleoptera",0
"280","Hemidactylus mabuoia","12702","Lagun","Coleoptera",0
"281","Hemidactylus mabuoia","12708","Lagun","Coleoptera",1
"282","Phylodactylus","12709","Lagun","Coleoptera",0
"283","Hemidactylus mabuoia","12711","Lagun","Coleoptera",0
"284","Hemidactylus mabuoia","12712","Lagun","Coleoptera",0
"285","Phylodactylus","112710","Lagun","Coleoptera",0
"400","Phylodactylus","12678","Lagun","Archnid_scorp",0
"401","Phylodactylus","12679","Lagun","Archnid_scorp",0
"402","Hemidactylus mabuoia","12681","Lagun","Archnid_scorp",0
"403","Phylodactylus","12689","Lagun","Archnid_scorp",0
"404","Hemidactylus mabuoia","12690","Lagun","Archnid_scorp",0
"405","Hemidactylus mabuoia","12691","Lagun","Archnid_scorp",0
"406","Hemidactylus mabuoia","12692","Lagun","Archnid_scorp",0
"407","Hemidactylus mabuoia","12694","Lagun","Archnid_scorp",0
"408","Hemidactylus mabuoia","12695","Lagun","Archnid_scorp",0
"409","Hemidactylus mabuoia","12696","Lagun","Archnid_scorp",0
"410","Phylodactylus","12697","Lagun","Archnid_scorp",0
"411","Hemidactylus mabuoia","12702","Lagun","Archnid_scorp",0
"412","Hemidactylus mabuoia","12708","Lagun","Archnid_scorp",0
"413","Phylodactylus","12709","Lagun","Archnid_scorp",0
"414","Hemidactylus mabuoia","12711","Lagun","Archnid_scorp",0
"415","Hemidactylus mabuoia","12712","Lagun","Archnid_scorp",0
"416","Phylodactylus","112710","Lagun","Archnid_scorp",1
"531","Phylodactylus","12678","Lagun","Archnid_spider",0
"532","Phylodactylus","12679","Lagun","Archnid_spider",0
"533","Hemidactylus mabuoia","12681","Lagun","Archnid_spider",0
"534","Phylodactylus","12689","Lagun","Archnid_spider",0.333333333
"535","Hemidactylus mabuoia","12690","Lagun","Archnid_spider",0
"536","Hemidactylus mabuoia","12691","Lagun","Archnid_spider",0
"537","Hemidactylus mabuoia","12692","Lagun","Archnid_spider",1
"538","Hemidactylus mabuoia","12694","Lagun","Archnid_spider",0
"539","Hemidactylus mabuoia","12695","Lagun","Archnid_spider",0
"540","Hemidactylus mabuoia","12696","Lagun","Archnid_spider",0
"541","Phylodactylus","12697","Lagun","Archnid_spider",0.5
"542","Hemidactylus mabuoia","12702","Lagun","Archnid_spider",0
"543","Hemidactylus mabuoia","12708","Lagun","Archnid_spider",0
"544","Phylodactylus","12709","Lagun","Archnid_spider",1
"545","Hemidactylus mabuoia","12711","Lagun","Archnid_spider",0
"546","Hemidactylus mabuoia","12712","Lagun","Archnid_spider",0
"547","Phylodactylus","112710","Lagun","Archnid_spider",0
"662","Phylodactylus","12678","Lagun","Other",0
"663","Phylodactylus","12679","Lagun","Other",0
"664","Hemidactylus mabuoia","12681","Lagun","Other",0
"665","Phylodactylus","12689","Lagun","Other",0
"666","Hemidactylus mabuoia","12690","Lagun","Other",0
"667","Hemidactylus mabuoia","12691","Lagun","Other",0
"668","Hemidactylus mabuoia","12692","Lagun","Other",0
"669","Hemidactylus mabuoia","12694","Lagun","Other",0
"670","Hemidactylus mabuoia","12695","Lagun","Other",0
"671","Hemidactylus mabuoia","12696","Lagun","Other",0
"672","Phylodactylus","12697","Lagun","Other",0
"673","Hemidactylus mabuoia","12702","Lagun","Other",0
"674","Hemidactylus mabuoia","12708","Lagun","Other",0
"675","Phylodactylus","12709","Lagun","Other",0
"676","Hemidactylus mabuoia","12711","Lagun","Other",0
"677","Hemidactylus mabuoia","12712","Lagun","Other",0
"678","Phylodactylus","112710","Lagun","Other",0
"793","Phylodactylus","12678","Lagun","Centipede",0
"794","Phylodactylus","12679","Lagun","Centipede",0
"795","Hemidactylus mabuoia","12681","Lagun","Centipede",0
"796","Phylodactylus","12689","Lagun","Centipede",0
"797","Hemidactylus mabuoia","12690","Lagun","Centipede",0
"798","Hemidactylus mabuoia","12691","Lagun","Centipede",0
"799","Hemidactylus mabuoia","12692","Lagun","Centipede",0
"800","Hemidactylus mabuoia","12694","Lagun","Centipede",0
"801","Hemidactylus mabuoia","12695","Lagun","Centipede",0
"802","Hemidactylus mabuoia","12696","Lagun","Centipede",0
"803","Phylodactylus","12697","Lagun","Centipede",0
"804","Hemidactylus mabuoia","12702","Lagun","Centipede",0
"805","Hemidactylus mabuoia","12708","Lagun","Centipede",0
"806","Phylodactylus","12709","Lagun","Centipede",0
"807","Hemidactylus mabuoia","12711","Lagun","Centipede",0
"808","Hemidactylus mabuoia","12712","Lagun","Centipede",0
"809","Phylodactylus","112710","Lagun","Centipede",0
"924","Phylodactylus","12678","Lagun","Isopod",0
"925","Phylodactylus","12679","Lagun","Isopod",0
"926","Hemidactylus mabuoia","12681","Lagun","Isopod",0
"927","Phylodactylus","12689","Lagun","Isopod",0
"928","Hemidactylus mabuoia","12690","Lagun","Isopod",0
"929","Hemidactylus mabuoia","12691","Lagun","Isopod",0
"930","Hemidactylus mabuoia","12692","Lagun","Isopod",0
"931","Hemidactylus mabuoia","12694","Lagun","Isopod",0
"932","Hemidactylus mabuoia","12695","Lagun","Isopod",1
"933","Hemidactylus mabuoia","12696","Lagun","Isopod",0
"934","Phylodactylus","12697","Lagun","Isopod",0
"935","Hemidactylus mabuoia","12702","Lagun","Isopod",0
"936","Hemidactylus mabuoia","12708","Lagun","Isopod",0
"937","Phylodactylus","12709","Lagun","Isopod",0
"938","Hemidactylus mabuoia","12711","Lagun","Isopod",0
"939","Hemidactylus mabuoia","12712","Lagun","Isopod",0
"940","Phylodactylus","112710","Lagun","Isopod",0
"1055","Phylodactylus","12678","Lagun","Hemiptera",0
"1056","Phylodactylus","12679","Lagun","Hemiptera",0
"1057","Hemidactylus mabuoia","12681","Lagun","Hemiptera",0
"1058","Phylodactylus","12689","Lagun","Hemiptera",0
"1059","Hemidactylus mabuoia","12690","Lagun","Hemiptera",0
"1060","Hemidactylus mabuoia","12691","Lagun","Hemiptera",0
"1061","Hemidactylus mabuoia","12692","Lagun","Hemiptera",0
"1062","Hemidactylus mabuoia","12694","Lagun","Hemiptera",0
"1063","Hemidactylus mabuoia","12695","Lagun","Hemiptera",0
"1064","Hemidactylus mabuoia","12696","Lagun","Hemiptera",0
"1065","Phylodactylus","12697","Lagun","Hemiptera",0
"1066","Hemidactylus mabuoia","12702","Lagun","Hemiptera",0
"1067","Hemidactylus mabuoia","12708","Lagun","Hemiptera",0
"1068","Phylodactylus","12709","Lagun","Hemiptera",0
"1069","Hemidactylus mabuoia","12711","Lagun","Hemiptera",0
"1070","Hemidactylus mabuoia","12712","Lagun","Hemiptera",0
"1071","Phylodactylus","112710","Lagun","Hemiptera",0
"1186","Phylodactylus","12678","Lagun","Hymenoptera",0
"1187","Phylodactylus","12679","Lagun","Hymenoptera",0
"1188","Hemidactylus mabuoia","12681","Lagun","Hymenoptera",0
"1189","Phylodactylus","12689","Lagun","Hymenoptera",0
"1190","Hemidactylus mabuoia","12690","Lagun","Hymenoptera",0
"1191","Hemidactylus mabuoia","12691","Lagun","Hymenoptera",0
"1192","Hemidactylus mabuoia","12692","Lagun","Hymenoptera",0
"1193","Hemidactylus mabuoia","12694","Lagun","Hymenoptera",0
"1194","Hemidactylus mabuoia","12695","Lagun","Hymenoptera",0
"1195","Hemidactylus mabuoia","12696","Lagun","Hymenoptera",0
"1196","Phylodactylus","12697","Lagun","Hymenoptera",0
"1197","Hemidactylus mabuoia","12702","Lagun","Hymenoptera",0
"1198","Hemidactylus mabuoia","12708","Lagun","Hymenoptera",0
"1199","Phylodactylus","12709","Lagun","Hymenoptera",0
"1200","Hemidactylus mabuoia","12711","Lagun","Hymenoptera",0
"1201","Hemidactylus mabuoia","12712","Lagun","Hymenoptera",0
"1202","Phylodactylus","112710","Lagun","Hymenoptera",0
"1317","Phylodactylus","12678","Lagun","Orthoptera",0
"1318","Phylodactylus","12679","Lagun","Orthoptera",1
"1319","Hemidactylus mabuoia","12681","Lagun","Orthoptera",0
"1320","Phylodactylus","12689","Lagun","Orthoptera",0.333333333
"1321","Hemidactylus mabuoia","12690","Lagun","Orthoptera",0
"1322","Hemidactylus mabuoia","12691","Lagun","Orthoptera",1
"1323","Hemidactylus mabuoia","12692","Lagun","Orthoptera",0
"1324","Hemidactylus mabuoia","12694","Lagun","Orthoptera",0
"1325","Hemidactylus mabuoia","12695","Lagun","Orthoptera",0
"1326","Hemidactylus mabuoia","12696","Lagun","Orthoptera",1
"1327","Phylodactylus","12697","Lagun","Orthoptera",0.5
"1328","Hemidactylus mabuoia","12702","Lagun","Orthoptera",0
"1329","Hemidactylus mabuoia","12708","Lagun","Orthoptera",0
"1330","Phylodactylus","12709","Lagun","Orthoptera",0
"1331","Hemidactylus mabuoia","12711","Lagun","Orthoptera",0
"1332","Hemidactylus mabuoia","12712","Lagun","Orthoptera",0
"1333","Phylodactylus","112710","Lagun","Orthoptera",0
"1448","Phylodactylus","12678","Lagun","Ephermeroptera",0
"1449","Phylodactylus","12679","Lagun","Ephermeroptera",0
"1450","Hemidactylus mabuoia","12681","Lagun","Ephermeroptera",0
"1451","Phylodactylus","12689","Lagun","Ephermeroptera",0
"1452","Hemidactylus mabuoia","12690","Lagun","Ephermeroptera",0
"1453","Hemidactylus mabuoia","12691","Lagun","Ephermeroptera",0
"1454","Hemidactylus mabuoia","12692","Lagun","Ephermeroptera",0
"1455","Hemidactylus mabuoia","12694","Lagun","Ephermeroptera",0
"1456","Hemidactylus mabuoia","12695","Lagun","Ephermeroptera",0
"1457","Hemidactylus mabuoia","12696","Lagun","Ephermeroptera",0
"1458","Phylodactylus","12697","Lagun","Ephermeroptera",0
"1459","Hemidactylus mabuoia","12702","Lagun","Ephermeroptera",0
"1460","Hemidactylus mabuoia","12708","Lagun","Ephermeroptera",0
"1461","Phylodactylus","12709","Lagun","Ephermeroptera",0
"1462","Hemidactylus mabuoia","12711","Lagun","Ephermeroptera",0
"1463","Hemidactylus mabuoia","12712","Lagun","Ephermeroptera",0
"1464","Phylodactylus","112710","Lagun","Ephermeroptera",0
"1579","Phylodactylus","12678","Lagun","Gecko_skin",0
"1580","Phylodactylus","12679","Lagun","Gecko_skin",0
"1581","Hemidactylus mabuoia","12681","Lagun","Gecko_skin",0
"1582","Phylodactylus","12689","Lagun","Gecko_skin",0.333333333
"1583","Hemidactylus mabuoia","12690","Lagun","Gecko_skin",0
"1584","Hemidactylus mabuoia","12691","Lagun","Gecko_skin",0
"1585","Hemidactylus mabuoia","12692","Lagun","Gecko_skin",0
"1586","Hemidactylus mabuoia","12694","Lagun","Gecko_skin",0
"1587","Hemidactylus mabuoia","12695","Lagun","Gecko_skin",0
"1588","Hemidactylus mabuoia","12696","Lagun","Gecko_skin",0
"1589","Phylodactylus","12697","Lagun","Gecko_skin",0
"1590","Hemidactylus mabuoia","12702","Lagun","Gecko_skin",0
"1591","Hemidactylus mabuoia","12708","Lagun","Gecko_skin",0
"1592","Phylodactylus","12709","Lagun","Gecko_skin",0
"1593","Hemidactylus mabuoia","12711","Lagun","Gecko_skin",0
"1594","Hemidactylus mabuoia","12712","Lagun","Gecko_skin",0
"1595","Phylodactylus","112710","Lagun","Gecko_skin",0
"1710","Phylodactylus","12678","Lagun","Blattaria",0
"1711","Phylodactylus","12679","Lagun","Blattaria",0
"1712","Hemidactylus mabuoia","12681","Lagun","Blattaria",0.5
"1713","Phylodactylus","12689","Lagun","Blattaria",0
"1714","Hemidactylus mabuoia","12690","Lagun","Blattaria",0
"1715","Hemidactylus mabuoia","12691","Lagun","Blattaria",0
"1716","Hemidactylus mabuoia","12692","Lagun","Blattaria",0
"1717","Hemidactylus mabuoia","12694","Lagun","Blattaria",0
"1718","Hemidactylus mabuoia","12695","Lagun","Blattaria",0
"1719","Hemidactylus mabuoia","12696","Lagun","Blattaria",0
"1720","Phylodactylus","12697","Lagun","Blattaria",0
"1721","Hemidactylus mabuoia","12702","Lagun","Blattaria",0
"1722","Hemidactylus mabuoia","12708","Lagun","Blattaria",0
"1723","Phylodactylus","12709","Lagun","Blattaria",0
"1724","Hemidactylus mabuoia","12711","Lagun","Blattaria",0
"1725","Hemidactylus mabuoia","12712","Lagun","Blattaria",0
"1726","Phylodactylus","112710","Lagun","Blattaria",0
"1841","Phylodactylus","12678","Lagun","Empty",0
"1842","Phylodactylus","12679","Lagun","Empty",0
"1843","Hemidactylus mabuoia","12681","Lagun","Empty",0
"1844","Phylodactylus","12689","Lagun","Empty",0
"1845","Hemidactylus mabuoia","12690","Lagun","Empty",0
"1846","Hemidactylus mabuoia","12691","Lagun","Empty",0
"1847","Hemidactylus mabuoia","12692","Lagun","Empty",0
"1848","Hemidactylus mabuoia","12694","Lagun","Empty",1
"1849","Hemidactylus mabuoia","12695","Lagun","Empty",0
"1850","Hemidactylus mabuoia","12696","Lagun","Empty",0
"1851","Phylodactylus","12697","Lagun","Empty",0
"1852","Hemidactylus mabuoia","12702","Lagun","Empty",0
"1853","Hemidactylus mabuoia","12708","Lagun","Empty",0
"1854","Phylodactylus","12709","Lagun","Empty",0
"1855","Hemidactylus mabuoia","12711","Lagun","Empty",1
"1856","Hemidactylus mabuoia","12712","Lagun","Empty",0
"1857","Phylodactylus","112710","Lagun","Empty",0
"1972","Phylodactylus","12678","Lagun","Ramphotyphlops",0
"1973","Phylodactylus","12679","Lagun","Ramphotyphlops",0
"1974","Hemidactylus mabuoia","12681","Lagun","Ramphotyphlops",0
"1975","Phylodactylus","12689","Lagun","Ramphotyphlops",0
"1976","Hemidactylus mabuoia","12690","Lagun","Ramphotyphlops",0
"1977","Hemidactylus mabuoia","12691","Lagun","Ramphotyphlops",0
"1978","Hemidactylus mabuoia","12692","Lagun","Ramphotyphlops",0
"1979","Hemidactylus mabuoia","12694","Lagun","Ramphotyphlops",0
"1980","Hemidactylus mabuoia","12695","Lagun","Ramphotyphlops",0
"1981","Hemidactylus mabuoia","12696","Lagun","Ramphotyphlops",0
"1982","Phylodactylus","12697","Lagun","Ramphotyphlops",0
"1983","Hemidactylus mabuoia","12702","Lagun","Ramphotyphlops",0
"1984","Hemidactylus mabuoia","12708","Lagun","Ramphotyphlops",0
"1985","Phylodactylus","12709","Lagun","Ramphotyphlops",0
"1986","Hemidactylus mabuoia","12711","Lagun","Ramphotyphlops",0
"1987","Hemidactylus mabuoia","12712","Lagun","Ramphotyphlops",0
"1988","Phylodactylus","112710","Lagun","Ramphotyphlops",0
"2103","Phylodactylus","12678","Lagun","Gonatodes.antillensis",0
"2104","Phylodactylus","12679","Lagun","Gonatodes.antillensis",0
"2105","Hemidactylus mabuoia","12681","Lagun","Gonatodes.antillensis",0
"2106","Phylodactylus","12689","Lagun","Gonatodes.antillensis",0
"2107","Hemidactylus mabuoia","12690","Lagun","Gonatodes.antillensis",0
"2108","Hemidactylus mabuoia","12691","Lagun","Gonatodes.antillensis",0
"2109","Hemidactylus mabuoia","12692","Lagun","Gonatodes.antillensis",0
"2110","Hemidactylus mabuoia","12694","Lagun","Gonatodes.antillensis",0
"2111","Hemidactylus mabuoia","12695","Lagun","Gonatodes.antillensis",0
"2112","Hemidactylus mabuoia","12696","Lagun","Gonatodes.antillensis",0
"2113","Phylodactylus","12697","Lagun","Gonatodes.antillensis",0
"2114","Hemidactylus mabuoia","12702","Lagun","Gonatodes.antillensis",0
"2115","Hemidactylus mabuoia","12708","Lagun","Gonatodes.antillensis",0
"2116","Phylodactylus","12709","Lagun","Gonatodes.antillensis",0
"2117","Hemidactylus mabuoia","12711","Lagun","Gonatodes.antillensis",0
"2118","Hemidactylus mabuoia","12712","Lagun","Gonatodes.antillensis",0
"2119","Phylodactylus","112710","Lagun","Gonatodes.antillensis",0
"2234","Phylodactylus","12678","Lagun","Phylodactylus",0
"2235","Phylodactylus","12679","Lagun","Phylodactylus",0
"2236","Hemidactylus mabuoia","12681","Lagun","Phylodactylus",0
"2237","Phylodactylus","12689","Lagun","Phylodactylus",0
"2238","Hemidactylus mabuoia","12690","Lagun","Phylodactylus",0
"2239","Hemidactylus mabuoia","12691","Lagun","Phylodactylus",0
"2240","Hemidactylus mabuoia","12692","Lagun","Phylodactylus",0
"2241","Hemidactylus mabuoia","12694","Lagun","Phylodactylus",0
"2242","Hemidactylus mabuoia","12695","Lagun","Phylodactylus",0
"2243","Hemidactylus mabuoia","12696","Lagun","Phylodactylus",0
"2244","Phylodactylus","12697","Lagun","Phylodactylus",0
"2245","Hemidactylus mabuoia","12702","Lagun","Phylodactylus",0
"2246","Hemidactylus mabuoia","12708","Lagun","Phylodactylus",0
"2247","Phylodactylus","12709","Lagun","Phylodactylus",0
"2248","Hemidactylus mabuoia","12711","Lagun","Phylodactylus",0
"2249","Hemidactylus mabuoia","12712","Lagun","Phylodactylus",0
"2250","Phylodactylus","112710","Lagun","Phylodactylus",0
"41","Hemidactylus mabuoia","12506","Westpunt","Diptera",0.333333333
"42","Hemidactylus mabuoia","12507","Westpunt","Diptera",0
"43","Hemidactylus mabuoia","12508","Westpunt","Diptera",1
"44","Hemidactylus mabuoia","12509","Westpunt","Diptera",0
"45","Hemidactylus mabuoia","12510","Westpunt","Diptera",0
"46","Phylodactylus","12513","Westpunt","Diptera",1
"47","Phylodactylus","12514","Westpunt","Diptera",0
"48","Phylodactylus","12515","Westpunt","Diptera",0
"49","Phylodactylus","12516","Westpunt","Diptera",0
"50","Phylodactylus","12517","Westpunt","Diptera",0
"51","Phylodactylus","12518","Westpunt","Diptera",0
"52","Phylodactylus","12520","Westpunt","Diptera",0
"53","Phylodactylus","12521","Westpunt","Diptera",0
"54","Phylodactylus","12522","Westpunt","Diptera",0.333333333
"55","Phylodactylus","12524","Westpunt","Diptera",0
"56","Phylodactylus","12525","Westpunt","Diptera",0
"57","Hemidactylus mabuoia","12540","Westpunt","Diptera",0.5
"58","Phylodactylus","12541","Westpunt","Diptera",0
"59","Phylodactylus","12543","Westpunt","Diptera",0
"60","Phylodactylus","12544","Westpunt","Diptera",0
"61","Phylodactylus","12547","Westpunt","Diptera",0
"62","Phylodactylus","12551","Westpunt","Diptera",0.5
"63","Hemidactylus mabuoia","12552","Westpunt","Diptera",0
