"","Species","Specimen","Site","variable","value"
"1179","Hemidactylus mabuoia","12669","Willemstad","Hemiptera",0
"1180","Hemidactylus mabuoia","12670","Willemstad","Hemiptera",0
"1181","Hemidactylus mabuoia","12671","Willemstad","Hemiptera",0
"1182","Hemidactylus mabuoia","12672","Willemstad","Hemiptera",0
"1183","Hemidactylus mabuoia","12714","Willemstad","Hemiptera",0
"1184","Hemidactylus mabuoia","12715","Willemstad","Hemiptera",0
"1185","Hemidactylus mabuoia","12716","Willemstad","Hemiptera",0
"1186","Hemidactylus mabuoia","12717","Willemstad","Hemiptera",0
"1187","Hemidactylus mabuoia","12718","Willemstad","Hemiptera",0
"1309","Hemidactylus mabuoia","12596","Willemstad","Hymenoptera",0
"1310","Hemidactylus mabuoia","12598","Willemstad","Hymenoptera",0
"1311","Hemidactylus mabuoia","12669","Willemstad","Hymenoptera",1
"1312","Hemidactylus mabuoia","12670","Willemstad","Hymenoptera",0
"1313","Hemidactylus mabuoia","12671","Willemstad","Hymenoptera",0.5
"1314","Hemidactylus mabuoia","12672","Willemstad","Hymenoptera",0
"1315","Hemidactylus mabuoia","12714","Willemstad","Hymenoptera",0
"1316","Hemidactylus mabuoia","12715","Willemstad","Hymenoptera",0
"1317","Hemidactylus mabuoia","12716","Willemstad","Hymenoptera",0
"1318","Hemidactylus mabuoia","12717","Willemstad","Hymenoptera",0
"1319","Hemidactylus mabuoia","12718","Willemstad","Hymenoptera",1
"1441","Hemidactylus mabuoia","12596","Willemstad","Orthoptera",0
"1442","Hemidactylus mabuoia","12598","Willemstad","Orthoptera",0
"1443","Hemidactylus mabuoia","12669","Willemstad","Orthoptera",0
"1444","Hemidactylus mabuoia","12670","Willemstad","Orthoptera",0
"1445","Hemidactylus mabuoia","12671","Willemstad","Orthoptera",0
"1446","Hemidactylus mabuoia","12672","Willemstad","Orthoptera",0
"1447","Hemidactylus mabuoia","12714","Willemstad","Orthoptera",0
"1448","Hemidactylus mabuoia","12715","Willemstad","Orthoptera",0
"1449","Hemidactylus mabuoia","12716","Willemstad","Orthoptera",0
"1450","Hemidactylus mabuoia","12717","Willemstad","Orthoptera",0
"1451","Hemidactylus mabuoia","12718","Willemstad","Orthoptera",0
"1573","Hemidactylus mabuoia","12596","Willemstad","Ephermeroptera",0
"1574","Hemidactylus mabuoia","12598","Willemstad","Ephermeroptera",0
"1575","Hemidactylus mabuoia","12669","Willemstad","Ephermeroptera",0
"1576","Hemidactylus mabuoia","12670","Willemstad","Ephermeroptera",0
"1577","Hemidactylus mabuoia","12671","Willemstad","Ephermeroptera",0
"1578","Hemidactylus mabuoia","12672","Willemstad","Ephermeroptera",0
"1579","Hemidactylus mabuoia","12714","Willemstad","Ephermeroptera",0
"1580","Hemidactylus mabuoia","12715","Willemstad","Ephermeroptera",0
"1581","Hemidactylus mabuoia","12716","Willemstad","Ephermeroptera",0
"1582","Hemidactylus mabuoia","12717","Willemstad","Ephermeroptera",0
"1583","Hemidactylus mabuoia","12718","Willemstad","Ephermeroptera",0
"1705","Hemidactylus mabuoia","12596","Willemstad","Gecko_skin",0
"1706","Hemidactylus mabuoia","12598","Willemstad","Gecko_skin",0
"1707","Hemidactylus mabuoia","12669","Willemstad","Gecko_skin",0
"1708","Hemidactylus mabuoia","12670","Willemstad","Gecko_skin",0
"1709","Hemidactylus mabuoia","12671","Willemstad","Gecko_skin",0
"1710","Hemidactylus mabuoia","12672","Willemstad","Gecko_skin",0
"1711","Hemidactylus mabuoia","12714","Willemstad","Gecko_skin",0
"1712","Hemidactylus mabuoia","12715","Willemstad","Gecko_skin",0
"1713","Hemidactylus mabuoia","12716","Willemstad","Gecko_skin",0
"1714","Hemidactylus mabuoia","12717","Willemstad","Gecko_skin",0
"1715","Hemidactylus mabuoia","12718","Willemstad","Gecko_skin",0
"1837","Hemidactylus mabuoia","12596","Willemstad","Blattaria",0
"1838","Hemidactylus mabuoia","12598","Willemstad","Blattaria",0
"1839","Hemidactylus mabuoia","12669","Willemstad","Blattaria",0
"1840","Hemidactylus mabuoia","12670","Willemstad","Blattaria",0
"1841","Hemidactylus mabuoia","12671","Willemstad","Blattaria",0
"1842","Hemidactylus mabuoia","12672","Willemstad","Blattaria",0
"1843","Hemidactylus mabuoia","12714","Willemstad","Blattaria",1
"1844","Hemidactylus mabuoia","12715","Willemstad","Blattaria",1
"1845","Hemidactylus mabuoia","12716","Willemstad","Blattaria",0
"1846","Hemidactylus mabuoia","12717","Willemstad","Blattaria",0
"1847","Hemidactylus mabuoia","12718","Willemstad","Blattaria",0
"1969","Hemidactylus mabuoia","12596","Willemstad","Empty",0
"1970","Hemidactylus mabuoia","12598","Willemstad","Empty",0
"1971","Hemidactylus mabuoia","12669","Willemstad","Empty",0
"1972","Hemidactylus mabuoia","12670","Willemstad","Empty",1
"1973","Hemidactylus mabuoia","12671","Willemstad","Empty",0
"1974","Hemidactylus mabuoia","12672","Willemstad","Empty",1
"1975","Hemidactylus mabuoia","12714","Willemstad","Empty",0
"1976","Hemidactylus mabuoia","12715","Willemstad","Empty",0
"1977","Hemidactylus mabuoia","12716","Willemstad","Empty",0
"1978","Hemidactylus mabuoia","12717","Willemstad","Empty",1
"1979","Hemidactylus mabuoia","12718","Willemstad","Empty",0
"2101","Hemidactylus mabuoia","12596","Willemstad","Ramphotyphlops",0
"2102","Hemidactylus mabuoia","12598","Willemstad","Ramphotyphlops",0
"2103","Hemidactylus mabuoia","12669","Willemstad","Ramphotyphlops",0
"2104","Hemidactylus mabuoia","12670","Willemstad","Ramphotyphlops",0
"2105","Hemidactylus mabuoia","12671","Willemstad","Ramphotyphlops",0
"2106","Hemidactylus mabuoia","12672","Willemstad","Ramphotyphlops",0
"2107","Hemidactylus mabuoia","12714","Willemstad","Ramphotyphlops",0
"2108","Hemidactylus mabuoia","12715","Willemstad","Ramphotyphlops",0
"2109","Hemidactylus mabuoia","12716","Willemstad","Ramphotyphlops",0
"2110","Hemidactylus mabuoia","12717","Willemstad","Ramphotyphlops",0
"2111","Hemidactylus mabuoia","12718","Willemstad","Ramphotyphlops",0
"2233","Hemidactylus mabuoia","12596","Willemstad","Gonatodes.antillensis",0
"2234","Hemidactylus mabuoia","12598","Willemstad","Gonatodes.antillensis",0
"2235","Hemidactylus mabuoia","12669","Willemstad","Gonatodes.antillensis",0
"2236","Hemidactylus mabuoia","12670","Willemstad","Gonatodes.antillensis",0
"2237","Hemidactylus mabuoia","12671","Willemstad","Gonatodes.antillensis",0
"2238","Hemidactylus mabuoia","12672","Willemstad","Gonatodes.antillensis",0
"2239","Hemidactylus mabuoia","12714","Willemstad","Gonatodes.antillensis",0
"2240","Hemidactylus mabuoia","12715","Willemstad","Gonatodes.antillensis",0
"2241","Hemidactylus mabuoia","12716","Willemstad","Gonatodes.antillensis",0
"2242","Hemidactylus mabuoia","12717","Willemstad","Gonatodes.antillensis",0
"2243","Hemidactylus mabuoia","12718","Willemstad","Gonatodes.antillensis",0
"2365","Hemidactylus mabuoia","12596","Willemstad","Phylodactylus",0
"2366","Hemidactylus mabuoia","12598","Willemstad","Phylodactylus",0
"2367","Hemidactylus mabuoia","12669","Willemstad","Phylodactylus",0
"2368","Hemidactylus mabuoia","12670","Willemstad","Phylodactylus",0
"2369","Hemidactylus mabuoia","12671","Willemstad","Phylodactylus",0
"2370","Hemidactylus mabuoia","12672","Willemstad","Phylodactylus",0
"2371","Hemidactylus mabuoia","12714","Willemstad","Phylodactylus",0
"2372","Hemidactylus mabuoia","12715","Willemstad","Phylodactylus",0
"2373","Hemidactylus mabuoia","12716","Willemstad","Phylodactylus",0
"2374","Hemidactylus mabuoia","12717","Willemstad","Phylodactylus",0
"2375","Hemidactylus mabuoia","12718","Willemstad","Phylodactylus",0
"24","Hemidactylus mabuoia","12591","Marriot Resort","Diptera",0
"25","Hemidactylus mabuoia","12592","Marriot Resort","Diptera",0
"26","Hemidactylus mabuoia","12594","Marriot Resort","Diptera",0
"156","Hemidactylus mabuoia","12591","Marriot Resort","Lepidoptera",0.2
"157","Hemidactylus mabuoia","12592","Marriot Resort","Lepidoptera",0
"158","Hemidactylus mabuoia","12594","Marriot Resort","Lepidoptera",0.5
"288","Hemidactylus mabuoia","12591","Marriot Resort","Coleoptera",0
"289","Hemidactylus mabuoia","12592","Marriot Resort","Coleoptera",0
"290","Hemidactylus mabuoia","12594","Marriot Resort","Coleoptera",0
"420","Hemidactylus mabuoia","12591","Marriot Resort","Archnid_scorp",0
"421","Hemidactylus mabuoia","12592","Marriot Resort","Archnid_scorp",0
"422","Hemidactylus mabuoia","12594","Marriot Resort","Archnid_scorp",0
"552","Hemidactylus mabuoia","12591","Marriot Resort","Archnid_spider",0.4
"553","Hemidactylus mabuoia","12592","Marriot Resort","Archnid_spider",0
"554","Hemidactylus mabuoia","12594","Marriot Resort","Archnid_spider",0
"684","Hemidactylus mabuoia","12591","Marriot Resort","Other",0
"685","Hemidactylus mabuoia","12592","Marriot Resort","Other",0
"686","Hemidactylus mabuoia","12594","Marriot Resort","Other",0
"816","Hemidactylus mabuoia","12591","Marriot Resort","Centipede",0
"817","Hemidactylus mabuoia","12592","Marriot Resort","Centipede",0
"818","Hemidactylus mabuoia","12594","Marriot Resort","Centipede",0
"948","Hemidactylus mabuoia","12591","Marriot Resort","Isopod",0
"949","Hemidactylus mabuoia","12592","Marriot Resort","Isopod",0
"950","Hemidactylus mabuoia","12594","Marriot Resort","Isopod",0
"1080","Hemidactylus mabuoia","12591","Marriot Resort","Hemiptera",0.4
"1081","Hemidactylus mabuoia","12592","Marriot Resort","Hemiptera",0
"1082","Hemidactylus mabuoia","12594","Marriot Resort","Hemiptera",0.5
"1212","Hemidactylus mabuoia","12591","Marriot Resort","Hymenoptera",0
"1213","Hemidactylus mabuoia","12592","Marriot Resort","Hymenoptera",0
"1214","Hemidactylus mabuoia","12594","Marriot Resort","Hymenoptera",0
"1344","Hemidactylus mabuoia","12591","Marriot Resort","Orthoptera",0
"1345","Hemidactylus mabuoia","12592","Marriot Resort","Orthoptera",0
"1346","Hemidactylus mabuoia","12594","Marriot Resort","Orthoptera",0
"1476","Hemidactylus mabuoia","12591","Marriot Resort","Ephermeroptera",0
"1477","Hemidactylus mabuoia","12592","Marriot Resort","Ephermeroptera",0
"1478","Hemidactylus mabuoia","12594","Marriot Resort","Ephermeroptera",0
"1608","Hemidactylus mabuoia","12591","Marriot Resort","Gecko_skin",0
"1609","Hemidactylus mabuoia","12592","Marriot Resort","Gecko_skin",0
"1610","Hemidactylus mabuoia","12594","Marriot Resort","Gecko_skin",0
"1740","Hemidactylus mabuoia","12591","Marriot Resort","Blattaria",0
"1741","Hemidactylus mabuoia","12592","Marriot Resort","Blattaria",0
"1742","Hemidactylus mabuoia","12594","Marriot Resort","Blattaria",0
"1872","Hemidactylus mabuoia","12591","Marriot Resort","Empty",0
"1873","Hemidactylus mabuoia","12592","Marriot Resort","Empty",1
"1874","Hemidactylus mabuoia","12594","Marriot Resort","Empty",0
"2004","Hemidactylus mabuoia","12591","Marriot Resort","Ramphotyphlops",0
"2005","Hemidactylus mabuoia","12592","Marriot Resort","Ramphotyphlops",0
"2006","Hemidactylus mabuoia","12594","Marriot Resort","Ramphotyphlops",0
"2136","Hemidactylus mabuoia","12591","Marriot Resort","Gonatodes.antillensis",0
"2137","Hemidactylus mabuoia","12592","Marriot Resort","Gonatodes.antillensis",0
"2138","Hemidactylus mabuoia","12594","Marriot Resort","Gonatodes.antillensis",0
"2268","Hemidactylus mabuoia","12591","Marriot Resort","Phylodactylus",0
"2269","Hemidactylus mabuoia","12592","Marriot Resort","Phylodactylus",0
"2270","Hemidactylus mabuoia","12594","Marriot Resort","Phylodactylus",0
