"","Species","Specimen","Site","variable","value"
"1094","Phylodactylus","112717","Shete","Hemiptera",0
"1095","Phylodactylus","112718","Shete","Hemiptera",0
"1096","Phylodactylus","112719","Shete","Hemiptera",0
"1215","Phylodactylus","12644","Shete","Hymenoptera",0
"1216","Phylodactylus","12645","Shete","Hymenoptera",0
"1217","Phylodactylus","12646","Shete","Hymenoptera",0
"1218","Phylodactylus","12647","Shete","Hymenoptera",0
"1219","Phylodactylus","12648","Shete","Hymenoptera",0
"1220","Phylodactylus","12649","Shete","Hymenoptera",0
"1221","Phylodactylus","12650","Shete","Hymenoptera",0
"1222","Phylodactylus","12651","Shete","Hymenoptera",0
"1223","Phylodactylus","112714","Shete","Hymenoptera",0
"1224","Phylodactylus","112715","Shete","Hymenoptera",0
"1225","Phylodactylus","112716","Shete","Hymenoptera",0
"1226","Phylodactylus","112717","Shete","Hymenoptera",0
"1227","Phylodactylus","112718","Shete","Hymenoptera",0
"1228","Phylodactylus","112719","Shete","Hymenoptera",0
"1347","Phylodactylus","12644","Shete","Orthoptera",0
"1348","Phylodactylus","12645","Shete","Orthoptera",0
"1349","Phylodactylus","12646","Shete","Orthoptera",0
"1350","Phylodactylus","12647","Shete","Orthoptera",0
"1351","Phylodactylus","12648","Shete","Orthoptera",0
"1352","Phylodactylus","12649","Shete","Orthoptera",0
"1353","Phylodactylus","12650","Shete","Orthoptera",0.5
"1354","Phylodactylus","12651","Shete","Orthoptera",0
"1355","Phylodactylus","112714","Shete","Orthoptera",0
"1356","Phylodactylus","112715","Shete","Orthoptera",0.333333333
"1357","Phylodactylus","112716","Shete","Orthoptera",0.5
"1358","Phylodactylus","112717","Shete","Orthoptera",1
"1359","Phylodactylus","112718","Shete","Orthoptera",0.111111111
"1360","Phylodactylus","112719","Shete","Orthoptera",0
"1479","Phylodactylus","12644","Shete","Ephermeroptera",0
"1480","Phylodactylus","12645","Shete","Ephermeroptera",0
"1481","Phylodactylus","12646","Shete","Ephermeroptera",0
"1482","Phylodactylus","12647","Shete","Ephermeroptera",0
"1483","Phylodactylus","12648","Shete","Ephermeroptera",0
"1484","Phylodactylus","12649","Shete","Ephermeroptera",0
"1485","Phylodactylus","12650","Shete","Ephermeroptera",0
"1486","Phylodactylus","12651","Shete","Ephermeroptera",0
"1487","Phylodactylus","112714","Shete","Ephermeroptera",0
"1488","Phylodactylus","112715","Shete","Ephermeroptera",0
"1489","Phylodactylus","112716","Shete","Ephermeroptera",0
"1490","Phylodactylus","112717","Shete","Ephermeroptera",0
"1491","Phylodactylus","112718","Shete","Ephermeroptera",0
"1492","Phylodactylus","112719","Shete","Ephermeroptera",0
"1611","Phylodactylus","12644","Shete","Gecko_skin",0
"1612","Phylodactylus","12645","Shete","Gecko_skin",0
"1613","Phylodactylus","12646","Shete","Gecko_skin",0
"1614","Phylodactylus","12647","Shete","Gecko_skin",0
"1615","Phylodactylus","12648","Shete","Gecko_skin",0
"1616","Phylodactylus","12649","Shete","Gecko_skin",0
"1617","Phylodactylus","12650","Shete","Gecko_skin",0
"1618","Phylodactylus","12651","Shete","Gecko_skin",0
"1619","Phylodactylus","112714","Shete","Gecko_skin",0
"1620","Phylodactylus","112715","Shete","Gecko_skin",0
"1621","Phylodactylus","112716","Shete","Gecko_skin",0
"1622","Phylodactylus","112717","Shete","Gecko_skin",0
"1623","Phylodactylus","112718","Shete","Gecko_skin",0
"1624","Phylodactylus","112719","Shete","Gecko_skin",0
"1743","Phylodactylus","12644","Shete","Blattaria",0
"1744","Phylodactylus","12645","Shete","Blattaria",0
"1745","Phylodactylus","12646","Shete","Blattaria",0
"1746","Phylodactylus","12647","Shete","Blattaria",0
"1747","Phylodactylus","12648","Shete","Blattaria",0
"1748","Phylodactylus","12649","Shete","Blattaria",0
"1749","Phylodactylus","12650","Shete","Blattaria",0
"1750","Phylodactylus","12651","Shete","Blattaria",0
"1751","Phylodactylus","112714","Shete","Blattaria",0
"1752","Phylodactylus","112715","Shete","Blattaria",0
"1753","Phylodactylus","112716","Shete","Blattaria",0
"1754","Phylodactylus","112717","Shete","Blattaria",0
"1755","Phylodactylus","112718","Shete","Blattaria",0
"1756","Phylodactylus","112719","Shete","Blattaria",0
"1875","Phylodactylus","12644","Shete","Empty",0
"1876","Phylodactylus","12645","Shete","Empty",0
"1877","Phylodactylus","12646","Shete","Empty",0
"1878","Phylodactylus","12647","Shete","Empty",0
"1879","Phylodactylus","12648","Shete","Empty",0
"1880","Phylodactylus","12649","Shete","Empty",0
"1881","Phylodactylus","12650","Shete","Empty",0
"1882","Phylodactylus","12651","Shete","Empty",0
"1883","Phylodactylus","112714","Shete","Empty",0
"1884","Phylodactylus","112715","Shete","Empty",0
"1885","Phylodactylus","112716","Shete","Empty",0
"1886","Phylodactylus","112717","Shete","Empty",0
"1887","Phylodactylus","112718","Shete","Empty",0
"1888","Phylodactylus","112719","Shete","Empty",0
"2007","Phylodactylus","12644","Shete","Ramphotyphlops",0
"2008","Phylodactylus","12645","Shete","Ramphotyphlops",0
"2009","Phylodactylus","12646","Shete","Ramphotyphlops",0
"2010","Phylodactylus","12647","Shete","Ramphotyphlops",0
"2011","Phylodactylus","12648","Shete","Ramphotyphlops",0
"2012","Phylodactylus","12649","Shete","Ramphotyphlops",0
"2013","Phylodactylus","12650","Shete","Ramphotyphlops",0
"2014","Phylodactylus","12651","Shete","Ramphotyphlops",0
"2015","Phylodactylus","112714","Shete","Ramphotyphlops",0
"2016","Phylodactylus","112715","Shete","Ramphotyphlops",0
"2017","Phylodactylus","112716","Shete","Ramphotyphlops",0
"2018","Phylodactylus","112717","Shete","Ramphotyphlops",0
"2019","Phylodactylus","112718","Shete","Ramphotyphlops",0
"2020","Phylodactylus","112719","Shete","Ramphotyphlops",0
"2139","Phylodactylus","12644","Shete","Gonatodes.antillensis",0
"2140","Phylodactylus","12645","Shete","Gonatodes.antillensis",0
"2141","Phylodactylus","12646","Shete","Gonatodes.antillensis",0
"2142","Phylodactylus","12647","Shete","Gonatodes.antillensis",0
"2143","Phylodactylus","12648","Shete","Gonatodes.antillensis",0
"2144","Phylodactylus","12649","Shete","Gonatodes.antillensis",0
"2145","Phylodactylus","12650","Shete","Gonatodes.antillensis",0
"2146","Phylodactylus","12651","Shete","Gonatodes.antillensis",0
"2147","Phylodactylus","112714","Shete","Gonatodes.antillensis",0
"2148","Phylodactylus","112715","Shete","Gonatodes.antillensis",0
"2149","Phylodactylus","112716","Shete","Gonatodes.antillensis",0
"2150","Phylodactylus","112717","Shete","Gonatodes.antillensis",0
"2151","Phylodactylus","112718","Shete","Gonatodes.antillensis",0
"2152","Phylodactylus","112719","Shete","Gonatodes.antillensis",0
"2271","Phylodactylus","12644","Shete","Phylodactylus",0
"2272","Phylodactylus","12645","Shete","Phylodactylus",0
"2273","Phylodactylus","12646","Shete","Phylodactylus",0
"2274","Phylodactylus","12647","Shete","Phylodactylus",0
"2275","Phylodactylus","12648","Shete","Phylodactylus",0
"2276","Phylodactylus","12649","Shete","Phylodactylus",0
"2277","Phylodactylus","12650","Shete","Phylodactylus",0
"2278","Phylodactylus","12651","Shete","Phylodactylus",0
"2279","Phylodactylus","112714","Shete","Phylodactylus",0
"2280","Phylodactylus","112715","Shete","Phylodactylus",0
"2281","Phylodactylus","112716","Shete","Phylodactylus",0
"2282","Phylodactylus","112717","Shete","Phylodactylus",0
"2283","Phylodactylus","112718","Shete","Phylodactylus",0
"2284","Phylodactylus","112719","Shete","Phylodactylus",0
