,Species,Specimen,variable,value
113,Phylodactylus,MCB 1115,Diptera,0
114,Phylodactylus,MCB 1117,Diptera,0
115,Phylodactylus,MCB 1118,Diptera,0
137,Phylodactylus,12513,Lepidoptera,0
138,Phylodactylus,12514,Lepidoptera,1
139,Phylodactylus,12515,Lepidoptera,0.5
140,Phylodactylus,12516,Lepidoptera,0
141,Phylodactylus,12517,Lepidoptera,0
142,Phylodactylus,12518,Lepidoptera,0
143,Phylodactylus,12520,Lepidoptera,0
144,Phylodactylus,12521,Lepidoptera,0
145,Phylodactylus,12522,Lepidoptera,0
146,Phylodactylus,12524,Lepidoptera,1
147,Phylodactylus,12525,Lepidoptera,0.5
149,Phylodactylus,12541,Lepidoptera,0
150,Phylodactylus,12543,Lepidoptera,0
151,Phylodactylus,12544,Lepidoptera,0
152,Phylodactylus,12547,Lepidoptera,0
153,Phylodactylus,12551,Lepidoptera,0
158,Phylodactylus,12582,Lepidoptera,0
159,Phylodactylus,12583,Lepidoptera,0
160,Phylodactylus,12584,Lepidoptera,0
167,Phylodactylus,12615,Lepidoptera,0
168,Phylodactylus,12618,Lepidoptera,0
169,Phylodactylus,12621,Lepidoptera,0
170,Phylodactylus,12622,Lepidoptera,0
171,Phylodactylus,12623,Lepidoptera,0
175,Phylodactylus,12636,Lepidoptera,0
176,Phylodactylus,12637,Lepidoptera,0.333333333
177,Phylodactylus,12638,Lepidoptera,0
178,Phylodactylus,12639,Lepidoptera,0
179,Phylodactylus,12640,Lepidoptera,0
180,Phylodactylus,12644,Lepidoptera,0
181,Phylodactylus,12645,Lepidoptera,0
182,Phylodactylus,12646,Lepidoptera,0
183,Phylodactylus,12647,Lepidoptera,0
184,Phylodactylus,12648,Lepidoptera,0
185,Phylodactylus,12649,Lepidoptera,0
186,Phylodactylus,12650,Lepidoptera,0
187,Phylodactylus,12651,Lepidoptera,0
192,Phylodactylus,12673,Lepidoptera,0
195,Phylodactylus,12678,Lepidoptera,1
196,Phylodactylus,12679,Lepidoptera,0
198,Phylodactylus,12689,Lepidoptera,0
205,Phylodactylus,12697,Lepidoptera,0
208,Phylodactylus,12704,Lepidoptera,0
210,Phylodactylus,12706,Lepidoptera,0
212,Phylodactylus,12709,Lepidoptera,0
220,Phylodactylus,112710,Lepidoptera,0
221,Phylodactylus,112714,Lepidoptera,0
222,Phylodactylus,112715,Lepidoptera,0
223,Phylodactylus,112716,Lepidoptera,0
224,Phylodactylus,112717,Lepidoptera,0
225,Phylodactylus,112718,Lepidoptera,0.111111111
226,Phylodactylus,112719,Lepidoptera,0
227,Phylodactylus,MCB 1098,Lepidoptera,0
228,Phylodactylus,MCB 1099,Lepidoptera,0
229,Phylodactylus,MCB 1100,Lepidoptera,0
230,Phylodactylus,MCB 1101,Lepidoptera,0
231,Phylodactylus,MCB 1102,Lepidoptera,0
232,Phylodactylus,MCB 1103,Lepidoptera,0
233,Phylodactylus,MCB 1104,Lepidoptera,0
234,Phylodactylus,MCB 1105,Lepidoptera,0
235,Phylodactylus,MCB 1106,Lepidoptera,0
236,Phylodactylus,MCB 1107,Lepidoptera,0
237,Phylodactylus,MCB 1108,Lepidoptera,0
238,Phylodactylus,MCB 1109,Lepidoptera,0
239,Phylodactylus,MCB 1110,Lepidoptera,0
240,Phylodactylus,MCB 1111,Lepidoptera,0.333333333
241,Phylodactylus,MCB 1112,Lepidoptera,0
242,Phylodactylus,MCB 1113,Lepidoptera,0
243,Phylodactylus,MCB 1114,Lepidoptera,0
244,Phylodactylus,MCB 1115,Lepidoptera,0
245,Phylodactylus,MCB 1117,Lepidoptera,0
246,Phylodactylus,MCB 1118,Lepidoptera,0
268,Phylodactylus,12513,Coleoptera,0
269,Phylodactylus,12514,Coleoptera,0
270,Phylodactylus,12515,Coleoptera,0.5
271,Phylodactylus,12516,Coleoptera,1
272,Phylodactylus,12517,Coleoptera,0
273,Phylodactylus,12518,Coleoptera,0
274,Phylodactylus,12520,Coleoptera,0.333333333
275,Phylodactylus,12521,Coleoptera,1
276,Phylodactylus,12522,Coleoptera,0
277,Phylodactylus,12524,Coleoptera,0
278,Phylodactylus,12525,Coleoptera,0
280,Phylodactylus,12541,Coleoptera,0
281,Phylodactylus,12543,Coleoptera,0.5
282,Phylodactylus,12544,Coleoptera,0
283,Phylodactylus,12547,Coleoptera,0
284,Phylodactylus,12551,Coleoptera,0.5
289,Phylodactylus,12582,Coleoptera,0.5
290,Phylodactylus,12583,Coleoptera,0
291,Phylodactylus,12584,Coleoptera,0
298,Phylodactylus,12615,Coleoptera,0
299,Phylodactylus,12618,Coleoptera,0
300,Phylodactylus,12621,Coleoptera,0
301,Phylodactylus,12622,Coleoptera,0
302,Phylodactylus,12623,Coleoptera,0
306,Phylodactylus,12636,Coleoptera,0.5
307,Phylodactylus,12637,Coleoptera,0.333333333
308,Phylodactylus,12638,Coleoptera,0
309,Phylodactylus,12639,Coleoptera,0
310,Phylodactylus,12640,Coleoptera,0
311,Phylodactylus,12644,Coleoptera,0
312,Phylodactylus,12645,Coleoptera,1
313,Phylodactylus,12646,Coleoptera,0
314,Phylodactylus,12647,Coleoptera,0
315,Phylodactylus,12648,Coleoptera,0
316,Phylodactylus,12649,Coleoptera,0.5
317,Phylodactylus,12650,Coleoptera,0
318,Phylodactylus,12651,Coleoptera,0
323,Phylodactylus,12673,Coleoptera,0
326,Phylodactylus,12678,Coleoptera,0
327,Phylodactylus,12679,Coleoptera,0
329,Phylodactylus,12689,Coleoptera,0
336,Phylodactylus,12697,Coleoptera,0
339,Phylodactylus,12704,Coleoptera,0
341,Phylodactylus,12706,Coleoptera,0
343,Phylodactylus,12709,Coleoptera,0
351,Phylodactylus,112710,Coleoptera,0
352,Phylodactylus,112714,Coleoptera,0
353,Phylodactylus,112715,Coleoptera,0
354,Phylodactylus,112716,Coleoptera,0.5
355,Phylodactylus,112717,Coleoptera,0
356,Phylodactylus,112718,Coleoptera,0
357,Phylodactylus,112719,Coleoptera,0
358,Phylodactylus,MCB 1098,Coleoptera,0.833333333
359,Phylodactylus,MCB 1099,Coleoptera,0.5
360,Phylodactylus,MCB 1100,Coleoptera,0
361,Phylodactylus,MCB 1101,Coleoptera,0.5
362,Phylodactylus,MCB 1102,Coleoptera,0
363,Phylodactylus,MCB 1103,Coleoptera,1
364,Phylodactylus,MCB 1104,Coleoptera,0
365,Phylodactylus,MCB 1105,Coleoptera,0.5
366,Phylodactylus,MCB 1106,Coleoptera,0.5
367,Phylodactylus,MCB 1107,Coleoptera,0
368,Phylodactylus,MCB 1108,Coleoptera,1
369,Phylodactylus,MCB 1109,Coleoptera,0.5
370,Phylodactylus,MCB 1110,Coleoptera,0
371,Phylodactylus,MCB 1111,Coleoptera,0.333333333
372,Phylodactylus,MCB 1112,Coleoptera,0.5
373,Phylodactylus,MCB 1113,Coleoptera,1
374,Phylodactylus,MCB 1114,Coleoptera,0
375,Phylodactylus,MCB 1115,Coleoptera,0
376,Phylodactylus,MCB 1117,Coleoptera,0
377,Phylodactylus,MCB 1118,Coleoptera,0
399,Phylodactylus,12513,Archnid_scorp,0
400,Phylodactylus,12514,Archnid_scorp,0
401,Phylodactylus,12515,Archnid_scorp,0
402,Phylodactylus,12516,Archnid_scorp,0
403,Phylodactylus,12517,Archnid_scorp,1
404,Phylodactylus,12518,Archnid_scorp,0
405,Phylodactylus,12520,Archnid_scorp,0.333333333
406,Phylodactylus,12521,Archnid_scorp,0
407,Phylodactylus,12522,Archnid_scorp,0
408,Phylodactylus,12524,Archnid_scorp,0
409,Phylodactylus,12525,Archnid_scorp,0
411,Phylodactylus,12541,Archnid_scorp,0
412,Phylodactylus,12543,Archnid_scorp,0
413,Phylodactylus,12544,Archnid_scorp,0
414,Phylodactylus,12547,Archnid_scorp,0
415,Phylodactylus,12551,Archnid_scorp,0
420,Phylodactylus,12582,Archnid_scorp,0
421,Phylodactylus,12583,Archnid_scorp,0
422,Phylodactylus,12584,Archnid_scorp,0
429,Phylodactylus,12615,Archnid_scorp,0
430,Phylodactylus,12618,Archnid_scorp,0
431,Phylodactylus,12621,Archnid_scorp,0
432,Phylodactylus,12622,Archnid_scorp,0
433,Phylodactylus,12623,Archnid_scorp,0
437,Phylodactylus,12636,Archnid_scorp,0
438,Phylodactylus,12637,Archnid_scorp,0
439,Phylodactylus,12638,Archnid_scorp,0
440,Phylodactylus,12639,Archnid_scorp,0
441,Phylodactylus,12640,Archnid_scorp,0
442,Phylodactylus,12644,Archnid_scorp,0
443,Phylodactylus,12645,Archnid_scorp,0
444,Phylodactylus,12646,Archnid_scorp,0
445,Phylodactylus,12647,Archnid_scorp,0
446,Phylodactylus,12648,Archnid_scorp,0
447,Phylodactylus,12649,Archnid_scorp,0
448,Phylodactylus,12650,Archnid_scorp,0
449,Phylodactylus,12651,Archnid_scorp,0
454,Phylodactylus,12673,Archnid_scorp,0
457,Phylodactylus,12678,Archnid_scorp,0
458,Phylodactylus,12679,Archnid_scorp,0
460,Phylodactylus,12689,Archnid_scorp,0
467,Phylodactylus,12697,Archnid_scorp,0
470,Phylodactylus,12704,Archnid_scorp,0
472,Phylodactylus,12706,Archnid_scorp,0
474,Phylodactylus,12709,Archnid_scorp,0
482,Phylodactylus,112710,Archnid_scorp,1
483,Phylodactylus,112714,Archnid_scorp,0
484,Phylodactylus,112715,Archnid_scorp,0
485,Phylodactylus,112716,Archnid_scorp,0
486,Phylodactylus,112717,Archnid_scorp,0
487,Phylodactylus,112718,Archnid_scorp,0.111111111
488,Phylodactylus,112719,Archnid_scorp,0
489,Phylodactylus,MCB 1098,Archnid_scorp,0
490,Phylodactylus,MCB 1099,Archnid_scorp,0
491,Phylodactylus,MCB 1100,Archnid_scorp,0
492,Phylodactylus,MCB 1101,Archnid_scorp,0
493,Phylodactylus,MCB 1102,Archnid_scorp,0
494,Phylodactylus,MCB 1103,Archnid_scorp,0
495,Phylodactylus,MCB 1104,Archnid_scorp,0
496,Phylodactylus,MCB 1105,Archnid_scorp,0
497,Phylodactylus,MCB 1106,Archnid_scorp,0
498,Phylodactylus,MCB 1107,Archnid_scorp,0
499,Phylodactylus,MCB 1108,Archnid_scorp,0
500,Phylodactylus,MCB 1109,Archnid_scorp,0
501,Phylodactylus,MCB 1110,Archnid_scorp,0
502,Phylodactylus,MCB 1111,Archnid_scorp,0
503,Phylodactylus,MCB 1112,Archnid_scorp,0
504,Phylodactylus,MCB 1113,Archnid_scorp,0
505,Phylodactylus,MCB 1114,Archnid_scorp,0.666666667
506,Phylodactylus,MCB 1115,Archnid_scorp,0
507,Phylodactylus,MCB 1117,Archnid_scorp,0
508,Phylodactylus,MCB 1118,Archnid_scorp,0
530,Phylodactylus,12513,Archnid_spider,0
531,Phylodactylus,12514,Archnid_spider,0
532,Phylodactylus,12515,Archnid_spider,0
533,Phylodactylus,12516,Archnid_spider,0
534,Phylodactylus,12517,Archnid_spider,0
535,Phylodactylus,12518,Archnid_spider,0
536,Phylodactylus,12520,Archnid_spider,0
537,Phylodactylus,12521,Archnid_spider,0
538,Phylodactylus,12522,Archnid_spider,0
539,Phylodactylus,12524,Archnid_spider,0
540,Phylodactylus,12525,Archnid_spider,0
542,Phylodactylus,12541,Archnid_spider,0
543,Phylodactylus,12543,Archnid_spider,0.5
544,Phylodactylus,12544,Archnid_spider,0
545,Phylodactylus,12547,Archnid_spider,0
546,Phylodactylus,12551,Archnid_spider,0
551,Phylodactylus,12582,Archnid_spider,0
552,Phylodactylus,12583,Archnid_spider,0
553,Phylodactylus,12584,Archnid_spider,1
560,Phylodactylus,12615,Archnid_spider,0
561,Phylodactylus,12618,Archnid_spider,0
562,Phylodactylus,12621,Archnid_spider,0
563,Phylodactylus,12622,Archnid_spider,0
564,Phylodactylus,12623,Archnid_spider,0
568,Phylodactylus,12636,Archnid_spider,0
569,Phylodactylus,12637,Archnid_spider,0
570,Phylodactylus,12638,Archnid_spider,0
571,Phylodactylus,12639,Archnid_spider,0
572,Phylodactylus,12640,Archnid_spider,0.5
573,Phylodactylus,12644,Archnid_spider,0
574,Phylodactylus,12645,Archnid_spider,0
575,Phylodactylus,12646,Archnid_spider,0
576,Phylodactylus,12647,Archnid_spider,0
577,Phylodactylus,12648,Archnid_spider,0.333333333
578,Phylodactylus,12649,Archnid_spider,0
579,Phylodactylus,12650,Archnid_spider,0
580,Phylodactylus,12651,Archnid_spider,0
585,Phylodactylus,12673,Archnid_spider,0
588,Phylodactylus,12678,Archnid_spider,0
589,Phylodactylus,12679,Archnid_spider,0
591,Phylodactylus,12689,Archnid_spider,0.333333333
598,Phylodactylus,12697,Archnid_spider,0.5
601,Phylodactylus,12704,Archnid_spider,0
603,Phylodactylus,12706,Archnid_spider,0
605,Phylodactylus,12709,Archnid_spider,1
613,Phylodactylus,112710,Archnid_spider,0
614,Phylodactylus,112714,Archnid_spider,1
615,Phylodactylus,112715,Archnid_spider,0.333333333
616,Phylodactylus,112716,Archnid_spider,0
617,Phylodactylus,112717,Archnid_spider,0
618,Phylodactylus,112718,Archnid_spider,0.111111111
619,Phylodactylus,112719,Archnid_spider,0
620,Phylodactylus,MCB 1098,Archnid_spider,0
621,Phylodactylus,MCB 1099,Archnid_spider,0
622,Phylodactylus,MCB 1100,Archnid_spider,0
623,Phylodactylus,MCB 1101,Archnid_spider,0
624,Phylodactylus,MCB 1102,Archnid_spider,0
625,Phylodactylus,MCB 1103,Archnid_spider,0
626,Phylodactylus,MCB 1104,Archnid_spider,0
627,Phylodactylus,MCB 1105,Archnid_spider,0
628,Phylodactylus,MCB 1106,Archnid_spider,0
629,Phylodactylus,MCB 1107,Archnid_spider,1
630,Phylodactylus,MCB 1108,Archnid_spider,0
631,Phylodactylus,MCB 1109,Archnid_spider,0
632,Phylodactylus,MCB 1110,Archnid_spider,0.5
633,Phylodactylus,MCB 1111,Archnid_spider,0
634,Phylodactylus,MCB 1112,Archnid_spider,0
635,Phylodactylus,MCB 1113,Archnid_spider,0
636,Phylodactylus,MCB 1114,Archnid_spider,0.333333333
637,Phylodactylus,MCB 1115,Archnid_spider,0
638,Phylodactylus,MCB 1117,Archnid_spider,0
639,Phylodactylus,MCB 1118,Archnid_spider,1
661,Phylodactylus,12513,Other,0
662,Phylodactylus,12514,Other,0
663,Phylodactylus,12515,Other,0
664,Phylodactylus,12516,Other,0
665,Phylodactylus,12517,Other,0
666,Phylodactylus,12518,Other,1
667,Phylodactylus,12520,Other,0
668,Phylodactylus,12521,Other,0
669,Phylodactylus,12522,Other,0
670,Phylodactylus,12524,Other,0
671,Phylodactylus,12525,Other,0
673,Phylodactylus,12541,Other,0
674,Phylodactylus,12543,Other,0
675,Phylodactylus,12544,Other,0
676,Phylodactylus,12547,Other,0
677,Phylodactylus,12551,Other,0
682,Phylodactylus,12582,Other,0
683,Phylodactylus,12583,Other,0
684,Phylodactylus,12584,Other,0
691,Phylodactylus,12615,Other,1
692,Phylodactylus,12618,Other,0
693,Phylodactylus,12621,Other,1
694,Phylodactylus,12622,Other,1
695,Phylodactylus,12623,Other,1
699,Phylodactylus,12636,Other,0
700,Phylodactylus,12637,Other,0
701,Phylodactylus,12638,Other,0
702,Phylodactylus,12639,Other,1
703,Phylodactylus,12640,Other,0
704,Phylodactylus,12644,Other,1
705,Phylodactylus,12645,Other,0
706,Phylodactylus,12646,Other,1
707,Phylodactylus,12647,Other,0.5
708,Phylodactylus,12648,Other,0
709,Phylodactylus,12649,Other,0
710,Phylodactylus,12650,Other,0
711,Phylodactylus,12651,Other,1
716,Phylodactylus,12673,Other,0
719,Phylodactylus,12678,Other,0
720,Phylodactylus,12679,Other,0
722,Phylodactylus,12689,Other,0
729,Phylodactylus,12697,Other,0
732,Phylodactylus,12704,Other,0
734,Phylodactylus,12706,Other,1
736,Phylodactylus,12709,Other,0
744,Phylodactylus,112710,Other,0
745,Phylodactylus,112714,Other,0
746,Phylodactylus,112715,Other,0
747,Phylodactylus,112716,Other,0
748,Phylodactylus,112717,Other,0
749,Phylodactylus,112718,Other,0
750,Phylodactylus,112719,Other,1
751,Phylodactylus,MCB 1098,Other,0
752,Phylodactylus,MCB 1099,Other,0
753,Phylodactylus,MCB 1100,Other,0
754,Phylodactylus,MCB 1101,Other,0
755,Phylodactylus,MCB 1102,Other,0
756,Phylodactylus,MCB 1103,Other,0
757,Phylodactylus,MCB 1104,Other,0
758,Phylodactylus,MCB 1105,Other,0.5
759,Phylodactylus,MCB 1106,Other,0
760,Phylodactylus,MCB 1107,Other,0
761,Phylodactylus,MCB 1108,Other,0
762,Phylodactylus,MCB 1109,Other,0
763,Phylodactylus,MCB 1110,Other,0
764,Phylodactylus,MCB 1111,Other,0
765,Phylodactylus,MCB 1112,Other,0
766,Phylodactylus,MCB 1113,Other,0
767,Phylodactylus,MCB 1114,Other,0
768,Phylodactylus,MCB 1115,Other,1
769,Phylodactylus,MCB 1117,Other,0
770,Phylodactylus,MCB 1118,Other,0
792,Phylodactylus,12513,Nematodes,0
793,Phylodactylus,12514,Nematodes,0
794,Phylodactylus,12515,Nematodes,0
795,Phylodactylus,12516,Nematodes,0
796,Phylodactylus,12517,Nematodes,0
797,Phylodactylus,12518,Nematodes,0
798,Phylodactylus,12520,Nematodes,0.333333333
799,Phylodactylus,12521,Nematodes,0
800,Phylodactylus,12522,Nematodes,0
801,Phylodactylus,12524,Nematodes,0
802,Phylodactylus,12525,Nematodes,0
804,Phylodactylus,12541,Nematodes,0
805,Phylodactylus,12543,Nematodes,0
806,Phylodactylus,12544,Nematodes,0
807,Phylodactylus,12547,Nematodes,1
808,Phylodactylus,12551,Nematodes,0
813,Phylodactylus,12582,Nematodes,0
814,Phylodactylus,12583,Nematodes,0
815,Phylodactylus,12584,Nematodes,0
822,Phylodactylus,12615,Nematodes,0
823,Phylodactylus,12618,Nematodes,1
824,Phylodactylus,12621,Nematodes,0
825,Phylodactylus,12622,Nematodes,0
826,Phylodactylus,12623,Nematodes,0
830,Phylodactylus,12636,Nematodes,0.5
831,Phylodactylus,12637,Nematodes,0
832,Phylodactylus,12638,Nematodes,0
833,Phylodactylus,12639,Nematodes,0
834,Phylodactylus,12640,Nematodes,0.5
835,Phylodactylus,12644,Nematodes,0
836,Phylodactylus,12645,Nematodes,0
837,Phylodactylus,12646,Nematodes,0
838,Phylodactylus,12647,Nematodes,0.5
839,Phylodactylus,12648,Nematodes,0.333333333
840,Phylodactylus,12649,Nematodes,0.5
841,Phylodactylus,12650,Nematodes,0.333333333
842,Phylodactylus,12651,Nematodes,0
847,Phylodactylus,12673,Nematodes,0
850,Phylodactylus,12678,Nematodes,0
851,Phylodactylus,12679,Nematodes,0
853,Phylodactylus,12689,Nematodes,0
860,Phylodactylus,12697,Nematodes,0
863,Phylodactylus,12704,Nematodes,0
865,Phylodactylus,12706,Nematodes,0
867,Phylodactylus,12709,Nematodes,0
875,Phylodactylus,112710,Nematodes,0
876,Phylodactylus,112714,Nematodes,0
877,Phylodactylus,112715,Nematodes,0
878,Phylodactylus,112716,Nematodes,0
879,Phylodactylus,112717,Nematodes,0
880,Phylodactylus,112718,Nematodes,0
881,Phylodactylus,112719,Nematodes,0
882,Phylodactylus,MCB 1098,Nematodes,0
883,Phylodactylus,MCB 1099,Nematodes,0
884,Phylodactylus,MCB 1100,Nematodes,0
885,Phylodactylus,MCB 1101,Nematodes,0.5
886,Phylodactylus,MCB 1102,Nematodes,0
887,Phylodactylus,MCB 1103,Nematodes,0
888,Phylodactylus,MCB 1104,Nematodes,0
889,Phylodactylus,MCB 1105,Nematodes,0
890,Phylodactylus,MCB 1106,Nematodes,0
891,Phylodactylus,MCB 1107,Nematodes,0
892,Phylodactylus,MCB 1108,Nematodes,0
893,Phylodactylus,MCB 1109,Nematodes,0
894,Phylodactylus,MCB 1110,Nematodes,0.5
895,Phylodactylus,MCB 1111,Nematodes,0.333333333
896,Phylodactylus,MCB 1112,Nematodes,0
897,Phylodactylus,MCB 1113,Nematodes,0
898,Phylodactylus,MCB 1114,Nematodes,0
899,Phylodactylus,MCB 1115,Nematodes,0
900,Phylodactylus,MCB 1117,Nematodes,0
901,Phylodactylus,MCB 1118,Nematodes,0
923,Phylodactylus,12513,Centipede,0
924,Phylodactylus,12514,Centipede,0
925,Phylodactylus,12515,Centipede,0
926,Phylodactylus,12516,Centipede,0
927,Phylodactylus,12517,Centipede,0
928,Phylodactylus,12518,Centipede,0
929,Phylodactylus,12520,Centipede,0
930,Phylodactylus,12521,Centipede,0
931,Phylodactylus,12522,Centipede,0.333333333
932,Phylodactylus,12524,Centipede,0
933,Phylodactylus,12525,Centipede,0
935,Phylodactylus,12541,Centipede,0
936,Phylodactylus,12543,Centipede,0
937,Phylodactylus,12544,Centipede,0
938,Phylodactylus,12547,Centipede,0
939,Phylodactylus,12551,Centipede,0
944,Phylodactylus,12582,Centipede,0
945,Phylodactylus,12583,Centipede,0
946,Phylodactylus,12584,Centipede,0
953,Phylodactylus,12615,Centipede,0
954,Phylodactylus,12618,Centipede,0
955,Phylodactylus,12621,Centipede,0
956,Phylodactylus,12622,Centipede,0
957,Phylodactylus,12623,Centipede,0
961,Phylodactylus,12636,Centipede,0
962,Phylodactylus,12637,Centipede,0
963,Phylodactylus,12638,Centipede,0
964,Phylodactylus,12639,Centipede,0
965,Phylodactylus,12640,Centipede,0
966,Phylodactylus,12644,Centipede,0
967,Phylodactylus,12645,Centipede,0
968,Phylodactylus,12646,Centipede,0
969,Phylodactylus,12647,Centipede,0
970,Phylodactylus,12648,Centipede,0
971,Phylodactylus,12649,Centipede,0
972,Phylodactylus,12650,Centipede,0
973,Phylodactylus,12651,Centipede,0
978,Phylodactylus,12673,Centipede,0
981,Phylodactylus,12678,Centipede,0
982,Phylodactylus,12679,Centipede,0
984,Phylodactylus,12689,Centipede,0
991,Phylodactylus,12697,Centipede,0
994,Phylodactylus,12704,Centipede,0
996,Phylodactylus,12706,Centipede,0
998,Phylodactylus,12709,Centipede,0
1006,Phylodactylus,112710,Centipede,0
1007,Phylodactylus,112714,Centipede,0
1008,Phylodactylus,112715,Centipede,0
1009,Phylodactylus,112716,Centipede,0
1010,Phylodactylus,112717,Centipede,0
1011,Phylodactylus,112718,Centipede,0
1012,Phylodactylus,112719,Centipede,0
1013,Phylodactylus,MCB 1098,Centipede,0
1014,Phylodactylus,MCB 1099,Centipede,0
1015,Phylodactylus,MCB 1100,Centipede,0
1016,Phylodactylus,MCB 1101,Centipede,0
1017,Phylodactylus,MCB 1102,Centipede,0
1018,Phylodactylus,MCB 1103,Centipede,0
1019,Phylodactylus,MCB 1104,Centipede,0
1020,Phylodactylus,MCB 1105,Centipede,0
1021,Phylodactylus,MCB 1106,Centipede,0
1022,Phylodactylus,MCB 1107,Centipede,0
1023,Phylodactylus,MCB 1108,Centipede,0
1024,Phylodactylus,MCB 1109,Centipede,0
1025,Phylodactylus,MCB 1110,Centipede,0
1026,Phylodactylus,MCB 1111,Centipede,0
1027,Phylodactylus,MCB 1112,Centipede,0
1028,Phylodactylus,MCB 1113,Centipede,0
1029,Phylodactylus,MCB 1114,Centipede,0
1030,Phylodactylus,MCB 1115,Centipede,0
1031,Phylodactylus,MCB 1117,Centipede,0
1032,Phylodactylus,MCB 1118,Centipede,0
1054,Phylodactylus,12513,Isopod,0
1055,Phylodactylus,12514,Isopod,0
1056,Phylodactylus,12515,Isopod,0
1057,Phylodactylus,12516,Isopod,0
1058,Phylodactylus,12517,Isopod,0
1059,Phylodactylus,12518,Isopod,0
1060,Phylodactylus,12520,Isopod,0
1061,Phylodactylus,12521,Isopod,0
1062,Phylodactylus,12522,Isopod,0.333333333
1063,Phylodactylus,12524,Isopod,0
1064,Phylodactylus,12525,Isopod,0
1066,Phylodactylus,12541,Isopod,0
1067,Phylodactylus,12543,Isopod,0
1068,Phylodactylus,12544,Isopod,0
1069,Phylodactylus,12547,Isopod,0
1070,Phylodactylus,12551,Isopod,0
1075,Phylodactylus,12582,Isopod,0
1076,Phylodactylus,12583,Isopod,0
1077,Phylodactylus,12584,Isopod,0
1084,Phylodactylus,12615,Isopod,0
1085,Phylodactylus,12618,Isopod,0
1086,Phylodactylus,12621,Isopod,0
1087,Phylodactylus,12622,Isopod,0
1088,Phylodactylus,12623,Isopod,0
1092,Phylodactylus,12636,Isopod,0
1093,Phylodactylus,12637,Isopod,0
1094,Phylodactylus,12638,Isopod,0.333333333
1095,Phylodactylus,12639,Isopod,0
1096,Phylodactylus,12640,Isopod,0
1097,Phylodactylus,12644,Isopod,0
1098,Phylodactylus,12645,Isopod,0
1099,Phylodactylus,12646,Isopod,0
1100,Phylodactylus,12647,Isopod,0
1101,Phylodactylus,12648,Isopod,0.333333333
1102,Phylodactylus,12649,Isopod,0
1103,Phylodactylus,12650,Isopod,0.333333333
1104,Phylodactylus,12651,Isopod,0
1109,Phylodactylus,12673,Isopod,0
1112,Phylodactylus,12678,Isopod,0
